5409	Давайте что-нибудь попробуем!	4702	何かしてみましょう。
5410	Мне пора идти спать.	4703	私は眠らなければなりません。
5411	Что ты делаешь?	4704	何してるの？
5411	Что ты делаешь?	187607	何をしますか？
5411	Что ты делаешь?	2762653	何やってんの？
5411	Что ты делаешь?	3552879	何してんの？
5412	Что это?	205604	それは何ですか。
5412	Что это?	217564	これ何？
5412	Что это?	229723	あれは何ですか。
5412	Что это?	344924	これは何ですか。
5413	Сегодня 18 июня, и это день рождения Мюриэл!	4705	今日は６月１８日で、ムーリエルの誕生日です！
5414	С днём рождения, Мюриэл!	4706	お誕生日おめでとうムーリエル！
5415	Мюриэл сейчас 20.	4707	ムーリエルは２０歳になりました。
5416	Пароль «Muiriel».	4708	パスワードは「Muiriel」です。
5419	У меня нет слов.	4711	何と言ったら良いか分かりません。
5421	Не знаю, что и сказать.	4713	何と言ったらいいか・・・。
5422	Это был злой кролик.	4714	こいつは悪いウサギだった。
5424	Это новая фотография?	4716	それは最近の写真？
5426	Микрофон по какой-то причине до этого не работал.	4718	先程、どういうわけかマイクが入りませんでした。
5427	Каждый, в итоге, должен учиться сам.	75139	結局は誰でも自分で学ぶしかない。
5429	Учиться нельзя заставлять. Учёбу нужно поощрять.	74836	学問は強いられるべきではない。学問は奨励されるべきだ。
5430	Нелегко решать, что правильно, а что нет, но приходится это делать.	74799	何が正しくて何が間違いか選択するのは難しいが、選択しなければならない。
5431	Это ничего не изменит.	187662	何も変わらない。
5433	Я зарабатываю сто евро в день.	4726	私は一日に100ユーロ稼ぎます。
5434	Я, может, скоро сдамся и вместо этого пойду вздремну.	4727	すぐに諦めて昼寝をするかも知れない。
5436	Этого не случится.	4729	そんなことは起きないでしょう。
5437	Иногда он очень странен.	4730	彼は時々変です。
5438	Я постараюсь не мешать тебе учиться.	4731	あなたの勉強を邪魔しないようにします。
5439	Я могу только догадываться, так ли это и для всех остальных.	4732	みんなもそうなのかな、と思うことくらいしかできない。
5440	Я полагаю, это будет выглядеть несколько иначе, когда ты подумаешь об этом в долгосрочном плане.	4733	長い目で見れば違ってくると思います。
5441	Не беспокойся.	4734	心配しないで。
5441	Не беспокойся.	145541	心配するな。
5442	Я скучаю по тебе.	4735	会えなくて淋しい。
5443	Я позвоню им завтра, когда вернусь домой.	4736	明日帰ったら電話します。
5444	Мне всегда больше нравились таинственные персонажи.	4737	私はいつも不思議な性格の方が好きだった。
5445	Тебе лучше поспать.	4738	眠った方がいいよ。
5446	Я пойду.	4739	行くよ。
5447	Я сказал им послать мне ещё один билет.	4740	私は彼らにチケットをもう一枚送ってくれるように頼んだ。
5448	У тебя не хватает терпения на меня.	4741	君は僕にとてもいらいらしている。
5449	Я так жить не могу.	4742	私はそんな風には生きられない。
5450	Когда-то я хотел быть астрофизиком.	4743	私は一時期、天体物理学者になりたかった。
5451	Я никогда не любил биологию.	4744	生物学は好きになれません。
5452	Последний человек, которому я рассказал свою идею, решил, что я сумасшедший.	4745	僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。
5453	Если бы мир не был таким, каков он сейчас, я мог бы доверять людям.	330721	もし世界が今の形をしていなかったら、私は誰でも信用できうる。
5454	К сожалению, это правда.	4746	残念ながらそれは本当なのです。
5456	Большинство людей думает, что я сумасшедший.	4747	大抵の人は僕を気違いだと思っている。
5457	Нет, не я, а ты!	4748	私は違います。あなたです。
5459	Он меня пинает!	4750	彼は私を蹴っています！
5460	Ты уверен?	4751	本当？
