5410	Мне пора идти спать.	2	我该去睡觉了。
5411	Что ты делаешь?	3	你在干什麼啊？
5412	Что это?	4	這是什麼啊？
5413	Сегодня 18 июня, и это день рождения Мюриэл!	5	今天是６月１８号，也是Muiriel的生日！
5414	С днём рождения, Мюриэл!	6	生日快乐，Muiriel！
5415	Мюриэл сейчас 20.	7	Muiriel现在20岁了。
5416	Пароль «Muiriel».	8	密码是"Muiriel"。
5419	У меня нет слов.	11	我不知道應該說什麼才好。
5421	Не знаю, что и сказать.	13	我只是不知道應該說什麼而已……
5422	Это был злой кролик.	14	那是一隻有惡意的兔子。
5424	Это новая фотография?	16	那是一张近照吗？
5425	Я не знаю, будет ли у меня время.	17	我不知道我有沒有時間。
5426	Микрофон по какой-то причине до этого не работал.	18	剛才我的麥克風沒起作用，不知道為什麼。
5427	Каждый, в итоге, должен учиться сам.	19	到了最後，大家一定要靠自己學習。
5430	Нелегко решать, что правильно, а что нет, но приходится это делать.	21	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。
5431	Это ничего не изменит.	22	這樣做的話什麼都不會改變的。
5433	Я зарабатываю сто евро в день.	24	我一天賺一百歐元。
5434	Я, может, скоро сдамся и вместо этого пойду вздремну.	25	也许我会马上放弃然后去打盹。
5436	Этого не случится.	26	那是不會發生的。
5438	Я постараюсь не мешать тебе учиться.	27	我会尽量不打扰你复习。
5441	Не беспокойся.	28	不要擔心。
5442	Я скучаю по тебе.	29	我很想你。
5442	Я скучаю по тебе.	2180625	我想念你。
5443	Я позвоню им завтра, когда вернусь домой.	30	我明天回來的時候會跟他們聯絡。
5444	Мне всегда больше нравились таинственные персонажи.	31	我一直都比較喜歡神秘一點的人物。
5445	Тебе лучше поспать.	32	你應該去睡覺了吧。
5446	Я пойду.	33	我要走了。
5447	Я сказал им послать мне ещё один билет.	34	我請他們再寄給我一張票。
5449	Я так жить не могу.	35	我不能这样活着。
5450	Когда-то я хотел быть астрофизиком.	36	我曾經想過當個太空物理學家。
5451	Я никогда не любил биологию.	37	我從來沒喜歡過生物學。
5454	К сожалению, это правда.	38	可惜这是真的。
5456	Большинство людей думает, что я сумасшедший.	39	大部份的人覺得我瘋了。
5457	Нет, не я, а ты!	40	不，我不是！你才是！
5458	Это мой ответ!	41	那是我該說的話!
5459	Он меня пинает!	42	他在踢我！
5460	Ты уверен?	43	你肯定吗？
5461	Тогда это проблема...	44	那就表示有問題...
5462	О, здесь бабочка!	45	哦！有一隻蝴蝶！
5465	Если бы я мог быть таким...	47	如果我可以像那樣的話...
5466	Почему-то по ночам я бодрее.	501315	由于某种原因，我晚上会觉得更生龙活虎。
5468	Ты шутишь?	48	你是在跟我開玩笑吧？！
5469	Это самая глупая вещь, которую я когда-либо говорил.	335708	那是我说过的最愚蠢的话了。
5469	Это самая глупая вещь, которую я когда-либо говорил.	899750	我曾说过的废话当中那是最愚蠢的一句。
5471	Когда я вырасту, я хочу стать королём.	49	我長大後想當國王。
5473	Я такой жирный.	50	我好胖哦。
5474	Так что?	51	那又怎樣?
5475	Я пристрелю его.	52	我要把他射下來。
5477	Я всего лишь говорю!	501321	我只是说说而已！
5479	Мне всегда было интересно, как это - иметь братьев и сестер.	501323	我总是想有兄弟姐妹会怎么样。
5482	Это потому, что ты девушка.	53	那是因為妳是女生。
5491	Думаю, лучше вести себя воспитанно.	501334	我觉得最好不要不礼貌。
5493	Быть может, я несчастлив, но я не собираюсь убивать себя.	54	我会不高兴，但我不会自杀。
5494	Когда я учился в средней школе, я вставал в 6:00 каждое утро.	55	以前讀高中的時候﹐我每天早上六點起床。
5500	Ты должен рискнуть, чтобы сделать это.	501339	要这么做，你需要冒险。
5502	Почему ты спрашиваешь?	56	你問這個幹什麼?
5507	Сколько ты там пробыл?	57	你待了多久?
5510	Люди не могут жить вечно.	1839150	人无法长生不死。
5514	Ты хочешь сказать, что намеренно скрываешь свою красоту?	501351	你是说你在故意掩饰你的美貌？
5517	Я не знал, откуда это пришло.	58	我不知道它是从哪里来的。
5519	Это не важно.	59	這個不重要。
5519	Это не важно.	1415838	这不重要。
5521	Она спрашивает, как это возможно.	501363	她问这怎么可能。
5529	Мне нужно идти спать.	2	我该去睡觉了。
5529	Мне нужно идти спать.	501373	我该上床了。
5550	Ты действительно не глуп.	501414	你真的很聪明。
5555	Никто не узнает.	344260	沒有人會知道。
5565	В чем проблема?	60	哪裡有問題?
5568	Я люблю тебя!	139673	我爱你。
5573	Почему ты не придешь навестить нас?	335057	为什么你不来看我们？
5578	Я ненавижу химию.	335051	我讨厌化学。
5583	Не могу сделать ничего лучше.	335046	我做得好到不能再好了。
5603	Иностранцы занятны.	380261	外国人很有意思。
5604	Что бы я ни сделал, она говорит, что я мог бы сделать это лучше.	334917	不管我做什么，她都说我能做得更好。
5612	Я не говорю по-японски.	334909	我不说日语。
5612	Я не говорю по-японски.	347901	我不会讲日本话。
5615	Я научился жить без неё.	334906	我学会了不靠她生活。
5619	Не может быть!	334699	这不可能！
5620	Пожалуйста, не плачь.	334469	请你不要哭。
5620	Пожалуйста, не плачь.	1535758	請不要哭。
5623	Сомневаться в себе есть первый признак ума.	334205	自我怀疑是聪明的第一标志。
5627	Всё то, что было изобретено, правильно.	62	所有被发明的都是真的。
5628	Изумление, удивление - это первый шаг на пути к постижению.	63	感到惊讶、感到惊奇就是明白的开始。
5629	Нет сомненья: вселенная бесконечна.	64	宇宙毫无疑问是无限的。
5630	Тем не менее, обратное также верно.	66	然而，相反的理论往往也是真的。
5631	Мы видим вещи не такими, какие они есть, а такими, каковы мы сами.	67	我们看东西不是看其实质，而是以我们的主观意识看它们的。
5632	Мир - это клетка для безумных.	68	世界就是一个疯子的囚笼。
5633	Меня зовут Джек.	69	我叫Jack。
5633	Меня зовут Джек.	651234	我叫傑克。
5634	Мне это очень нравится.	1535882	我非常喜歡它.
5635	Любовь не пропадает даром.	70	从来就没有徒劳的爱情。
5636	Жизнь — то, что с тобой случается, пока ты занят другими делами.	71	生活就是當你忙著進行你的計劃時總有其他的事情發生。
5637	Не желать обладать - всё равно что обладать.	72	没有欲望就等于拥有。
5643	Прошлое можно только знать, но не изменять. Будущее можно только изменять, но не знать.	501713	我们只能知道过去，并不能改变。我们只能改变未来，却不能预知。
5646	Всё возможно - было бы желание.	334632	有志者事竟成。
5651	Жизнь прекрасна.	339478	生命是美麗的。
5651	Жизнь прекрасна.	339488	人生是美好的。
5651	Жизнь прекрасна.	502771	生活是美丽的。
5658	Жизнь начинается, когда определяешься, чего от неё хочешь.	503078	当我们决定期待从生活中得到什么的时候，生活开始了。
5661	Из какой ты страны?	75	你是从哪个国家来的？
337544	Посмотри на тот дым.	809881	快看那個煙。
337605	Не забывай нас!	337720	别忘了我们！
337681	Добро пожаловать в Японию.	542440	日本欢迎您。
337750	Я буду тут до десяти.	353559	我在这里待到10点。
338442	Она не боится ничего.	849814	她不害怕任何東西。
338465	Я Сьюзан Грин.	819425	我是蘇珊格林。
338476	Вот мы здесь.	1205890	我們到了。
338479	Боб — мой друг.	414039	Bob是我朋友。
338488	Я не понимаю.	340435	我不明白。
338488	Я не понимаю.	409679	我不懂。
348093	Войдите!	348105	请进！
348093	Войдите!	348106	进来！
348093	Войдите!	348108	进来吧。
348093	Войдите!	348109	里面请。
348093	Войдите!	348110	屋里请。
348097	Добро пожаловать!	348103	欢迎欢迎！
351199	Поторапливайся!	46	趕快!
351415	Выставка уже открыта.	1361952	展览现在已经开放。
351532	Холодно.	334647	天很冷。
351605	Он написал письмо.	834321	他寫了一封信。
358163	По-японски мне говорить легко.	358186	讲日语对我来说很简单。
358165	Вы говорите по-японски?	358185	你会讲日语么？
366815	Вчера я был болен.	780260	我昨天生病了。
367944	Я вегетарианец.	510809	我是素食主义者。
370371	Как его зовут?	674243	他叫什么名字？
374353	Я скоро вернусь.	9	我很快就會回來。
374353	Я скоро вернусь.	344941	我马上回来。
374367	Я забронировал место.	731759	我訂了一個位子。
374635	Он был ранен на войне.	616210	他是在战争中受伤的。
374642	Каждый раз, когда я смотрю на эту фотографию, я вспоминаю счастливые дни деревенской жизни.	765207	每當我看著這張照片, 我就回憶起那些在鄉村幸福的日子。
374869	Спасибо!	374825	谢谢你。
375922	Мне, пожалуйста, чашку кофе.	452592	我想要杯咖啡。
375943	Ему нельзя доверять.	353510	他不值得信任。
375944	Хорошая идея!	1830195	好主意！
375952	Это что за глупость?	1039699	这是什么废话？
376024	Он вчера умер.	347148	他昨天死了。
376024	Он вчера умер.	347149	他昨天过世了。
376024	Он вчера умер.	347150	他昨天逝世了。
376024	Он вчера умер.	500919	他昨天去世了。
376027	Вчера было холодно.	346737	昨天很冷。
376033	Вчера был четверг.	3076600	昨天是星期四。
378058	Я тут живу.	1488531	我住在這。
379213	Пришёл, увидел, победил.	1877695	我来，我见，我征服。
379377	С днём рождения!	346492	生日快乐！
